"kode_pasangan","jenis_data","domain","istilah_asing","padanan_indonesia","tipe_padanan","referen_ringkas","konteks_penggunaan_direkomendasikan","jenis_framing_utama","jenis_framing_sekunder","hipotesis_label_asing","hipotesis_label_indonesia","kesetaraan_referensial_awal_1_5","kejelasan_padanan_awal_1_5","potensi_perbedaan_konotasi_1_5","kelayakan_stimulus_awal_1_5","status_seleksi","alasan_status","contoh_stimulus_asing","contoh_stimulus_indonesia","judul_sumber_bukti","jenis_sumber","url_bukti","tanggal_akses","jumlah_platform_ditemukan","jumlah_produk_atau_unggahan","jumlah_toko_atau_akun","bukti_transaksi_0_3","tren_pencarian_0_3","rerata_kesepadanan_responden_1_7","rerata_keakraban_asing_1_7","rerata_keakraban_indonesia_1_7","rerata_valensi_asing_1_7","rerata_valensi_indonesia_1_7","catatan_peneliti"
"FL-011","kandidat_prariset_heuristik_bukan_hasil_responden","Kerajinan dan produk personalisasi","custom","pesanan khusus","padanan fungsional","produk yang dibuat atau disesuaikan berdasarkan permintaan pelanggan","sepatu, kue, furnitur, aksesori","personalisasi dan premiumisasi","profesionalisasi","lebih modern, eksklusif, fleksibel, dan bernilai tinggi","lebih jelas, formal, dan berorientasi proses pemesanan","4","4","4","4","layak_uji_awal","Perlu memastikan custom berarti dibuat sesuai permintaan, bukan sekadar variasi produk.","Toko ini menerima produk custom sesuai desain pelanggan.","Toko ini menerima produk pesanan khusus sesuai desain pelanggan.","JRCD Harpano 1979 Official Website","situs merek","https://jrcdenim.com/","2026-07-28","","","","","","","","","","","Gunakan konteks produk yang memang dapat dipersonalisasi."
"FL-012","kandidat_prariset_heuristik_bukan_hasil_responden","Kuliner","rice paper","kertas nasi","terjemahan yang ambigu dalam pemakaian Indonesia","lembaran tipis yang dapat dimakan untuk membungkus lumpia Vietnam","bahan lumpia Vietnam dengan gambar dan definisi yang identik","representasi mental dan prototipe","globalitas dan keakraban","lebih kuat memicu bahan makanan Asia, transparan, dan dapat dimakan","dapat memicu pembungkus nasi warung atau kertas kemasan yang tidak dimakan","2","3","5","2","perlu_validasi_ketat","Ambiguitas leksikal sangat tinggi dan perbedaan persepsi dapat berasal dari referen yang berbeda.","Toko ini menyediakan rice paper yang dapat dimakan untuk membuat lumpia Vietnam.","Toko ini menyediakan kertas nasi yang dapat dimakan untuk membuat lumpia Vietnam.","Rice Paper 200gr, Kertas Nasi, Kulit Lumpia","marketplace","https://www.blibli.com/p/rice-paper-200gr-kertas-nasi-kulit-lumpia-bentuk-bulat-isi-20-lembar-java-super-food/ps--ISF-70007-01584","2026-07-28","","","","","","","","","","","Lebih tepat dijadikan studi representasi mental atau priming, bukan langsung sebagai stimulus konsumen utama."
"FL-013","kandidat_prariset_heuristik_bukan_hasil_responden","Kecantikan dan wewangian","fragrance","wewangian","terjemahan langsung","aroma atau campuran bahan pemberi aroma pada produk","parfum, deodoran, kosmetik, produk rumah tangga","prestise","teknologi dan profesionalisasi","lebih teknis, premium, internasional, dan terkait formulasi","lebih sensoris, akrab, alami, dan mudah dibayangkan","4","5","4","5","prioritas_utama","Relevan untuk kualitas, kemewahan, dan estimasi harga produk.","Produk ini memiliki fragrance bunga yang lembut.","Produk ini memiliki wewangian bunga yang lembut.","5 Rekomendasi Fragrance Buat Lo yang Mau Wangi Seharian","situs merek","https://www.axe.com/id/inspirasi/grooming/rekomendasi-fragrance.html","2026-07-28","","","","","","","","","","","Fragrance dapat berarti bahan pewangi, sedangkan wewangian juga dapat berarti produk parfum; konteks harus dipersempit."
"FL-014","kandidat_prariset_heuristik_bukan_hasil_responden","Kecantikan dan perawatan diri","brightening","pencerah kulit","padanan deskriptif","fungsi produk yang membantu kulit tampak lebih cerah dan merata","serum, toner, krim, tabir surya","teknologi dan profesionalisasi","eufemisme komersial","lebih ilmiah, modern, aman, dan terkait bahan aktif","lebih langsung, mudah dipahami, tetapi dapat berdekatan dengan klaim memutihkan","4","4","4","4","layak_uji_awal","Perlu membedakan pencerah dari pemutih agar konstruk tidak tercampur.","Serum ini memiliki efek brightening untuk kulit kusam.","Serum ini memiliki efek pencerah kulit untuk kulit kusam.","Apa Bedanya Mencerahkan dan Memutihkan Kulit?","situs kesehatan","https://www.halodoc.com/artikel/apa-bedanya-mencerahkan-dan-memutihkan-kulit-simak-yuk","2026-07-28","","","","","","","","","","","Gunakan skala keamanan dan kealamian selain modernitas."
"FL-015","kandidat_prariset_heuristik_bukan_hasil_responden","Kecantikan dan perawatan diri","anti-aging","perawatan untuk mencegah penuaan","padanan deskriptif","produk atau tindakan untuk mengurangi, memperlambat, atau menyamarkan tanda penuaan","krim wajah, serum, prosedur kecantikan","eufemisme komersial","teknologi dan modernitas","lebih ringkas, ilmiah, efektif, dan berorientasi hasil","lebih eksplisit mengaktifkan konsep tua dan penuaan","4","4","4","4","prioritas_utama","Berpotensi menunjukkan penghalusan makna dan jarak emosional.","Krim ini merupakan produk anti-aging untuk garis halus.","Krim ini merupakan produk untuk mencegah penuaan pada garis halus.","Apa Itu Anti Aging? Pahami Definisi, Tujuan, dan Bahan Aktifnya","situs kesehatan","https://www.halodoc.com/artikel/apa-itu-anti-aging-pahami-definisi-tujuan-dan-bahan-aktifnya","2026-07-28","","","","","","","","","","","Padanan antipenuaan dapat diuji sebagai versi ketiga jika dipahami responden."
"FL-016","kandidat_prariset_heuristik_bukan_hasil_responden","Kecantikan dan perawatan diri","body care","perawatan tubuh","terjemahan langsung","rangkaian produk untuk merawat kulit dan kebersihan tubuh selain wajah","sabun mandi, losion, lulur, deodoran","modernitas","profesionalisasi","lebih modern, terkurasi, dan menyerupai kategori industri kecantikan","lebih umum, akrab, dan fungsional","4","5","3","5","layak_uji_awal","Padanan jelas, tetapi efek konotatif mungkin tidak sebesar skincare.","Merek ini menawarkan rangkaian body care untuk penggunaan harian.","Merek ini menawarkan rangkaian perawatan tubuh untuk penggunaan harian.","Perawatan Tubuh, Watsons Indonesia","situs ritel","https://www.watsons.co.id/id/c/020000","2026-07-28","","","","","","","","","","","Lakukan uji keakraban karena body care sangat lazim pada sebagian kelompok usia."
"FL-017","kandidat_prariset_heuristik_bukan_hasil_responden","Kuliner dan lingkungan","plant-based","berbasis nabati","terjemahan langsung","produk pangan yang bahan utamanya berasal dari tumbuhan","susu nabati, daging alternatif, menu sehat","naturalisasi","modernitas dan keberlanjutan","lebih trendi, global, sehat, inovatif, dan ramah lingkungan","lebih informatif, alami, lokal, dan mudah dipahami","5","5","4","5","prioritas_utama","Sangat relevan untuk kesehatan, lingkungan, harga, dan niat membeli.","Produk ini dibuat dari bahan plant-based.","Produk ini dibuat dari bahan berbasis nabati.","Green KIND, Tempat Belanja Produk UMKM Ramah Lingkungan","media lingkungan","https://www.cleanomic.co.id/post/green-kind-tempat-belanja-produk-umkm-ramah-lingkungan","2026-07-28","","","","","","","","","","","Kontrol pola makan vegetarian atau vegan sebagai moderator."
"FL-018","kandidat_prariset_heuristik_bukan_hasil_responden","Produk rumah tangga dan kecantikan","refill","isi ulang","terjemahan langsung","kemasan atau layanan untuk mengisi kembali produk ke wadah yang digunakan","parfum, sabun, kosmetik, alat tulis","modernitas dan kepraktisan","keberlanjutan","lebih modern, ringkas, dan terkait gaya hidup ramah lingkungan","lebih jelas, ekonomis, dan berorientasi fungsi","5","5","3","5","layak_uji_awal","Referen sangat setara, tetapi efek framing mungkin lebih kuat pada produk premium.","Produk ini tersedia dalam kemasan refill.","Produk ini tersedia dalam kemasan isi ulang.","Parfum YSL Libre, Refill Parfum","situs merek","https://www.yslbeauty.co.id/in_ID/parfum/refill-parfum/libre-eau-de-parfum-intense/3614274479720.html","2026-07-28","","","","","","","","","","","Bandingkan produk premium dan produk rumah tangga karena efek kelas sosial mungkin berbeda."
"FL-019","kandidat_prariset_heuristik_bukan_hasil_responden","Lingkungan","composting","pengomposan","terjemahan langsung","proses penguraian bahan organik menjadi kompos","alat komposter, layanan pengelolaan sampah, edukasi lingkungan","teknologi dan profesionalisasi","keakraban","lebih teknis, modern, sistematis, dan terkait inovasi lingkungan","lebih formal, jelas, dan terkait kegiatan pengolahan pupuk","5","5","3","5","layak_uji_awal","Cocok untuk menguji citra teknologi, meski jarak emosional mungkin kecil.","Usaha ini menyediakan alat composting untuk sampah organik.","Usaha ini menyediakan alat pengomposan untuk sampah organik.","Komposter, Alat dan Wadah untuk Membuat Kompos Sendiri","situs pemerintah daerah","https://dkpp.bulelengkab.go.id/informasi/detail/artikel/komposter-alat-dan-wadah-untuk-membuat-kompos-sendiri-agar-lebih-mudah-46","2026-07-28","","","","","","","","","","","Ukur latar belakang lingkungan atau pertanian."
"FL-020","kandidat_prariset_heuristik_bukan_hasil_responden","Lingkungan dan ritel","zero waste","tanpa sampah","terjemahan langsung yang bersifat ideal","pendekatan untuk meminimalkan sampah dan mempertahankan sumber daya dalam siklus penggunaan","kemasan, toko curah, gaya hidup, acara","globalitas dan aktivisme","kejelasan dan idealisasi","lebih populer, global, komunitarian, dan terkait gaya hidup modern","lebih literal, absolut, dan dapat terdengar sulit diwujudkan","4","4","4","4","prioritas_utama","Potensi framing kuat, tetapi padanan nol sampah juga perlu dibandingkan.","Toko ini menerapkan konsep zero waste dalam pengemasan.","Toko ini menerapkan konsep tanpa sampah dalam pengemasan.","Mengurangi Jejak Ekologis dengan Menerapkan Zero Waste","situs pemerintah desa","https://www.bhuanajaya.desa.id/mengurangi-jejak-ekologis-ajakan-untuk-masyarakat-desa-bhuana-jaya-dalam-menerapkan-zero-waste/","2026-07-28","","","","","","","","","","","Pertimbangkan desain tiga kondisi: zero waste, tanpa sampah, dan minim sampah."
"FL-021","kandidat_prariset_heuristik_bukan_hasil_responden","Lingkungan dan kerajinan","recycled product","produk daur ulang","terjemahan langsung","produk yang dibuat dengan memanfaatkan material yang telah digunakan atau dibuang","tas, furnitur, kerajinan, kemasan","modernitas lingkungan","kualitas dan keakraban","lebih inovatif, desain-sentris, global, dan bernilai tambah","lebih langsung mengaktifkan bahan bekas dan proses pengolahan limbah","5","5","3","5","prioritas_utama","Cocok untuk menguji kualitas, kebersihan, dan kesediaan membayar.","Tas ini dipasarkan sebagai recycled product.","Tas ini dipasarkan sebagai produk daur ulang.","9 Ide Bisnis Kreatif yang Menguntungkan","situs bisnis","https://redcomm.co.id/knowledges/9-ide-bisnis-kreatif-yang-menguntungkan-tahun-ini","2026-07-28","","","","","","","","","","","Sebutkan material yang sama untuk mencegah inferensi bahwa kualitas bahan berbeda."
"FL-022","kandidat_prariset_heuristik_bukan_hasil_responden","Lingkungan dan produk konsumen","sustainable product","produk berkelanjutan","terjemahan langsung tetapi abstrak","produk yang dirancang dengan mempertimbangkan dampak lingkungan dan sosial jangka panjang","produk rumah tangga, fesyen, keuangan hijau","prestise lingkungan","abstraksi dan profesionalisasi","lebih global, korporat, premium, dan terkait standar lingkungan","lebih formal, abstrak, dan mungkin kurang segera dipahami","3","4","4","3","perlu_validasi_ketat","Konsep sangat luas dan tidak selalu merujuk pada atribut produk yang sama.","Merek ini menawarkan sustainable product untuk rumah tangga.","Merek ini menawarkan produk berkelanjutan untuk rumah tangga.","Maybank Indonesia Memiliki Sustainable Product Framework","media berita","https://www.antaranews.com/berita/4775365/maybank-indonesia-penyaluran-pembiayaan-kkub-rp221-triliun-pada-2024/","2026-07-28","","","","","","","","","","","Definisikan atribut konkret, misalnya bahan, energi, atau daur pakai, sebelum eksperimen."
"FL-023","kandidat_prariset_heuristik_bukan_hasil_responden","Bisnis dan ekonomi digital","startup","perusahaan rintisan","terjemahan langsung","perusahaan baru yang sedang mengembangkan model bisnis dan pertumbuhan","profil usaha, lowongan, investasi, teknologi","modernitas dan teknologi","prestise dan ketidakpastian","lebih inovatif, cepat tumbuh, teknologi-sentris, dan menarik investor","lebih baru, belum mapan, lokal, dan menekankan tahap merintis","4","5","5","5","prioritas_utama","Kontras modernitas, risiko, dan profesionalitas diperkirakan kuat.","Usaha ini dikembangkan sebagai startup teknologi pendidikan.","Usaha ini dikembangkan sebagai perusahaan rintisan teknologi pendidikan.","Perjuangan Startup Sebelum Mereka Meraksasa","situs pemerintah","https://www.komdigi.go.id/berita/sorotan-media/detail/perjuangan-startup-sebelum-mereka-meraksasa","2026-07-28","","","","","","","","","","","Kontrol ukuran perusahaan dan usia operasi agar bukan karakter perusahaan yang membedakan."
"FL-024","kandidat_prariset_heuristik_bukan_hasil_responden","Media dan ekonomi kreatif","content creator","pembuat konten","terjemahan langsung","orang yang merancang dan menghasilkan konten untuk media","profil profesi, jasa promosi, lowongan","profesionalisasi","prestise dan modernitas","lebih profesional, kreatif, digital, dan bernilai ekonomi","lebih literal, mudah dipahami, tetapi mungkin terasa sebagai aktivitas umum","5","5","4","5","prioritas_utama","Cocok untuk menilai profesionalitas, kompetensi, dan estimasi tarif jasa.","Program ini dikelola oleh content creator lokal.","Program ini dikelola oleh pembuat konten lokal.","Ingin Jadi Content Creator, Pahami Tugas dan Keterampilan","media daring","https://rakyatbengkulu.disway.id/inspiring/read/657127/ingin-jadi-content-creator-pahami-tugas-dan-miliki-keterampilan-khusus-ciptakan-konten-yang-mendidik","2026-07-28","","","","","","","","","","","Dapat diuji dengan variabel tarif jasa dan kepercayaan terhadap kompetensi."
"FL-025","kandidat_prariset_heuristik_bukan_hasil_responden","Bisnis dan ruang kerja","coworking space","ruang kerja bersama","terjemahan langsung","ruang kerja yang digunakan bersama oleh individu atau organisasi berbeda","iklan sewa ruang, fasilitas bisnis, komunitas","modernitas dan globalitas","kolaborasi dan prestise","lebih modern, kreatif, profesional, dan terkait jaringan bisnis","lebih jelas, fungsional, dan kurang eksklusif","5","5","5","5","prioritas_utama","Sangat cocok untuk estimasi tarif, profesionalitas, dan citra fasilitas.","Gedung ini menyediakan coworking space untuk pekerja lepas.","Gedung ini menyediakan ruang kerja bersama untuk pekerja lepas.","About REQ Space","situs penyedia jasa","https://www.reqspace.id/about-req-space/","2026-07-28","","","","","","","","","","","Gunakan foto ruangan identik dan harga awal yang sama."
"FL-026","kandidat_prariset_heuristik_bukan_hasil_responden","Bisnis dan ekonomi digital","marketplace","pasar daring","terjemahan langsung","platform digital yang mempertemukan banyak penjual dan pembeli","promosi toko, penjualan produk, kebijakan platform","teknologi dan modernitas","kejelasan","lebih umum, teknologis, profesional, dan berskala besar","lebih literal, formal, dan mungkin kurang familier","5","5","4","5","prioritas_utama","Padanan kuat dan relevan untuk persepsi skala serta kepercayaan transaksi.","Produk ini dijual melalui marketplace nasional.","Produk ini dijual melalui pasar daring nasional.","Tanggal Kembar: Belanja Meningkat, Pajaknya Bagaimana?","situs pemerintah","https://www.pajak.go.id/id/artikel/tanggal-kembar-belanja-meningkat-pajaknya-bagaimana","2026-07-28","","","","","","","","","","","Ukur keakraban pasar daring karena istilah Indonesia mungkin jauh lebih jarang digunakan."
"FL-027","kandidat_prariset_heuristik_bukan_hasil_responden","Kuliner dan bisnis digital","cloud kitchen","dapur virtual","padanan fungsional","dapur komersial yang terutama melayani pesanan daring tanpa ruang makan konvensional","profil usaha makanan, layanan pesan antar, kemitraan","teknologi dan modernitas","higienitas dan profesionalisasi","lebih inovatif, efisien, berbasis data, dan modern","lebih jelas tetapi dapat terdengar tidak nyata atau kurang transparan","4","4","5","4","prioritas_utama","Potensi modernitas kuat, tetapi cloud kitchen juga dapat berarti dapur bersama.","Makanan ini diproduksi melalui cloud kitchen.","Makanan ini diproduksi melalui dapur virtual.","Pemkot Depok Bangun Cloud Kitchen","media berita","https://megapolitan.antaranews.com/berita/271629/pemkot-depok-tingkatkan-pemasaran-produk-umkm-dengan-bangun-cloud-kitchen","2026-07-28","","","","","","","","","","","Tambahkan definisi singkat yang identik agar responden tidak menebak struktur dapurnya."
"FL-028","kandidat_prariset_heuristik_bukan_hasil_responden","Bisnis dan distribusi","reseller","penjual kembali","terjemahan langsung yang kurang lazim","pihak yang memperoleh produk lalu menjualnya kembali kepada konsumen","program kemitraan, peluang usaha, distribusi produk","profesionalisasi","keakraban dan legitimasi","lebih lazim, profesional, digital, dan berorientasi peluang usaha","lebih literal, formal, dan mungkin terdengar sebagai perantara biasa","4","4","4","4","layak_uji_awal","Efek keakraban diperkirakan besar karena penjual kembali jarang digunakan secara komersial.","Produk ini dipasarkan melalui jaringan reseller.","Produk ini dipasarkan melalui jaringan penjual kembali.","Reseller Polaris Pulsa","situs bisnis","https://polarispulsa.com/reseller","2026-07-28","","","","","","","","","","","Bedakan reseller dari agen, distributor, dan dropshipper."
"FL-029","kandidat_prariset_heuristik_bukan_hasil_responden","Keuangan dan transaksi","cashless","nontunai","terjemahan langsung","transaksi pembayaran yang tidak menggunakan uang tunai fisik","toko, layanan pembayaran, kebijakan transaksi","modernitas dan teknologi","keamanan dan kejelasan","lebih modern, cepat, digital, dan berorientasi gaya hidup","lebih formal, aman, administratif, dan terkait kebijakan","5","5","4","5","prioritas_utama","Sangat setara dan mudah diuji pada persepsi modernitas serta kenyamanan.","Toko ini hanya menerima pembayaran cashless.","Toko ini hanya menerima pembayaran nontunai.","Semua Transaksi Kopdes Cashless agar Transparan","situs pemerintah","https://kemenkopangan.go.id/detail-berita/zulhas-tegaskan-semua-transaksi-kopdes-cashless-agar-transparan-tak-ada-kecurangan","2026-07-28","","","","","","","","","","","Ukur pengalaman menggunakan QRIS dan dompet digital."
"FL-030","kandidat_prariset_heuristik_bukan_hasil_responden","Bisnis dan ekonomi digital","e-commerce","perdagangan elektronik","terjemahan langsung","kegiatan jual beli barang atau jasa melalui sistem elektronik dan internet","profil usaha, laporan bisnis, promosi kanal penjualan","teknologi dan globalitas","profesionalisasi","lebih lazim, modern, ringkas, dan berorientasi industri","lebih formal, administratif, dan kurang akrab dalam bahasa pemasaran","5","5","4","5","prioritas_utama","Cocok untuk menguji citra profesional, skala usaha, dan kepercayaan.","Usaha ini memasarkan produk melalui e-commerce.","Usaha ini memasarkan produk melalui perdagangan elektronik.","Apa Itu Ecommerce? Panduan Berjualan Online","situs platform bisnis","https://www.shopify.com/id-id/blog/e-commerce","2026-07-28","","","","","","","","","","","Bedakan e-commerce sebagai aktivitas dari marketplace sebagai platform."
